"","HUC_i","HUC_j","points_i","length_i","area_i","points_j","length_j","area_j","distance_ij"
"4232",159,170,5153,282045.166749,188168169.193,9507,921322.489428,902943239.364,111269.6592
"4236",150,154,17952,3733456.30238,2413788748.91,12648,996600.27872,1230838377.06,111338.7928
"4249",152,157,4405,401341.364698,370814966.197,6444,762387.267075,2013881876.76,111512.4297
"4258",53,175,4682,912665.799095,1487622720.29,17187,2353037.01825,2922732511.91,111642.7422
"4269",191,193,12392,851620.791604,1335617285.69,1139,246566.008858,747489017.086,111755.0376
"4280",26,161,3908,1385356.19187,944438320.092,14629,2385326.96972,2453624839.04,111865.723
"4291",156,164,11821,2108768.4648,2399304474.9,4422,1353925.34857,1298060591.31,112098.2495
"4294",53,161,4682,912665.799095,1487622720.29,14629,2385326.96972,2453624839.04,112172.8627
"4297",54,403,7496,1743542.55719,3588231108.57,15441,2169803.70952,3282264497.41,112183.7232
"4303",41,162,11123,820589.353485,977864406.906,4472,1087840.26405,1164200708.05,112286.5708
"4304",31,158,7791,1386961.45355,1464916864.12,1567,214287.566148,559532664.465,112300.7764
"4314",204,211,3405,633931.66063,1246649832.2,22810,1003947.61376,1482326892.8,112499.6579
"4320",153,398,5038,635197.844155,774426440.254,18273,2865499.78312,2853081750.53,112548.1402
"4323",41,156,11123,820589.353485,977864406.906,11821,2108768.4648,2399304474.9,112622.1704
"4326",31,163,7791,1386961.45355,1464916864.12,5807,2029951.87686,3143356248.5,112655.1428
"4329",43,171,920,329116.870826,556605641.277,8888,1865098.79141,1899080337.91,112674.8503
"4331",165,393,4422,1834982.23088,1619720716.8,12219,2180114.27068,2583118256.45,112709.6309
"4344",28,148,6049,644498.607186,451560914.395,421,678967.659273,653775833.434,112848.2763
"4348",174,393,2170,673784.609775,733950779.508,12219,2180114.27068,2583118256.45,112871.9092
"4361",32,165,4122,815584.334193,1103268621.73,4422,1834982.23088,1619720716.8,113029.5688
"4362",163,167,5807,2029951.87686,3143356248.5,1567,507664.349505,919263103.236,113036.393
"4364",163,174,5807,2029951.87686,3143356248.5,2170,673784.609775,733950779.508,113069.7454
"4365",166,392,7947,1973887.79158,2383726910.88,9776,1243583.09089,2738416862.82,113135.9906
"4376",27,161,13653,2093613.60365,1231105140.44,14629,2385326.96972,2453624839.04,113295.7173
"4385",42,154,8402,438182.504918,468727696.46,12648,996600.27872,1230838377.06,113421.8311
"4400",21,41,1267,568204.43722,755611618.824,11123,820589.353485,977864406.906,113593.0764
"4408",160,403,16718,2641165.17254,2206591411.82,15441,2169803.70952,3282264497.41,113746.0294
"4410",26,398,3908,1385356.19187,944438320.092,18273,2865499.78312,2853081750.53,113762.702
"4422",160,394,16718,2641165.17254,2206591411.82,19514,2269045.99455,2958449434.35,113949.3894
"4427",55,204,1864,258598.894036,986638704.338,3405,633931.66063,1246649832.2,114018.4519
"4430",158,168,1567,214287.566148,559532664.465,723,292231.105356,563366373.427,114059.258
"4435",195,196,2964,964286.576005,1065870641.82,3489,711644.720915,931211320.671,114181.5856
"4438",42,159,8402,438182.504918,468727696.46,5153,282045.166749,188168169.193,114207.7474
"4447",162,174,4472,1087840.26405,1164200708.05,2170,673784.609775,733950779.508,114280.0387
"4459",190,211,11327,1453769.54938,1253986034.33,22810,1003947.61376,1482326892.8,114360.171
"4460",54,208,7496,1743542.55719,3588231108.57,9352,1548478.95706,1780963677.62,114400.2779
"4465",165,173,4422,1834982.23088,1619720716.8,1505,658235.945779,635414583.385,114459.8374
"4491",55,175,1864,258598.894036,986638704.338,17187,2353037.01825,2922732511.91,114893.0834
"4513",159,174,5153,282045.166749,188168169.193,2170,673784.609775,733950779.508,115091.3118
"4519",179,191,657,146939.477626,219121912.887,12392,851620.791604,1335617285.69,115160.3717
"4525",169,172,11576,1654242.92381,2374629754,10117,3003563.93521,3184286865.45,115217.4814
"4530",28,395,6049,644498.607186,451560914.395,4662,897169.710945,2043592767.67,115322.5687
"4538",152,158,4405,401341.364698,370814966.197,1567,214287.566148,559532664.465,115441.2039
"4553",176,204,7281,994620.80025,1612982961.02,3405,633931.66063,1246649832.2,115660.3466
"4557",32,161,4122,815584.334193,1103268621.73,14629,2385326.96972,2453624839.04,115697.5809
"4569",157,175,6444,762387.267075,2013881876.76,17187,2353037.01825,2922732511.91,115808.6123
"4600",51,156,4748,467952.886776,552135041.351,11821,2108768.4648,2399304474.9,116161.7611
"4601",50,158,10880,1109494.62789,1634992073.48,1567,214287.566148,559532664.465,116180.7103
"4603",163,169,5807,2029951.87686,3143356248.5,11576,1654242.92381,2374629754,116200.5173
"4622",28,152,6049,644498.607186,451560914.395,4405,401341.364698,370814966.197,116412.0789
"4639",161,164,14629,2385326.96972,2453624839.04,4422,1353925.34857,1298060591.31,116695.5997
"4644",157,178,6444,762387.267075,2013881876.76,6188,781232.492791,601116832.259,116769.186
"4666",165,392,4422,1834982.23088,1619720716.8,9776,1243583.09089,2738416862.82,117000.3584
"4671",51,190,4748,467952.886776,552135041.351,11327,1453769.54938,1253986034.33,117055.8923
"4673",29,31,17370,2752283.46207,1595089814.57,7791,1386961.45355,1464916864.12,117076.2811
"4692",31,174,7791,1386961.45355,1464916864.12,2170,673784.609775,733950779.508,117255.2491
"4696",31,168,7791,1386961.45355,1464916864.12,723,292231.105356,563366373.427,117297.5697
"4697",55,194,1864,258598.894036,986638704.338,2623,483442.524083,707446827.694,117320.8399
"4721",165,172,4422,1834982.23088,1619720716.8,10117,3003563.93521,3184286865.45,117600.5341
"4731",51,203,4748,467952.886776,552135041.351,4917,448622.339202,503930913.697,117756.5987
"4752",27,152,13653,2093613.60365,1231105140.44,4405,401341.364698,370814966.197,118022.0416
"4766",164,394,4422,1353925.34857,1298060591.31,19514,2269045.99455,2958449434.35,118177.485
"4790",51,55,4748,467952.886776,552135041.351,1864,258598.894036,986638704.338,118461.6331
"4802",154,178,12648,996600.27872,1230838377.06,6188,781232.492791,601116832.259,118657.0891
"4803",59,212,2618,312023.509273,498690546.22,12839,2820052.67618,3728259662.3,118679.5136
"4809",154,163,12648,996600.27872,1230838377.06,5807,2029951.87686,3143356248.5,118755.0197
"4827",169,173,11576,1654242.92381,2374629754,1505,658235.945779,635414583.385,118939.4093
"4839",151,159,22241,3147846.5546,2581405676.79,5153,282045.166749,188168169.193,119123.121
"4853",179,192,657,146939.477626,219121912.887,6804,254705.268791,468640572.712,119276.8368
"4854",53,212,4682,912665.799095,1487622720.29,12839,2820052.67618,3728259662.3,119294.2356
"4871",50,54,10880,1109494.62789,1634992073.48,7496,1743542.55719,3588231108.57,119534.6587
"4884",193,212,1139,246566.008858,747489017.086,12839,2820052.67618,3728259662.3,119742.1543
"4885",153,157,5038,635197.844155,774426440.254,6444,762387.267075,2013881876.76,119761.8745
"4892",31,392,7791,1386961.45355,1464916864.12,9776,1243583.09089,2738416862.82,119866.977
"4898",150,161,17952,3733456.30238,2413788748.91,14629,2385326.96972,2453624839.04,119968.5191
"4914",159,171,5153,282045.166749,188168169.193,8888,1865098.79141,1899080337.91,120124.2953
"4915",50,194,10880,1109494.62789,1634992073.48,2623,483442.524083,707446827.694,120131.8904
"4937",155,177,17884,2205895.39613,2768996075.97,13356,809238.423438,1071549764.86,120312.8926
"4945",54,59,7496,1743542.55719,3588231108.57,2618,312023.509273,498690546.22,120386.2672
"4946",54,156,7496,1743542.55719,3588231108.57,11821,2108768.4648,2399304474.9,120397.4824
"4947",175,203,17187,2353037.01825,2922732511.91,4917,448622.339202,503930913.697,120398.5396
"4957",21,30,1267,568204.43722,755611618.824,13119,4095857.55159,2386103901.41,120575.7943
"4958",50,176,10880,1109494.62789,1634992073.48,7281,994620.80025,1612982961.02,120581.478
"4964",51,193,4748,467952.886776,552135041.351,1139,246566.008858,747489017.086,120659.6237
"4995",52,196,3322,644082.819848,1222412983.43,3489,711644.720915,931211320.671,121077.3299
"4997",148,155,421,678967.659273,653775833.434,17884,2205895.39613,2768996075.97,121105.1098
"5025",29,161,17370,2752283.46207,1595089814.57,14629,2385326.96972,2453624839.04,121527.9849
"5035",193,203,1139,246566.008858,747489017.086,4917,448622.339202,503930913.697,121659.3364
"5056",151,394,22241,3147846.5546,2581405676.79,19514,2269045.99455,2958449434.35,121899.1465
"5058",153,403,5038,635197.844155,774426440.254,15441,2169803.70952,3282264497.41,121932.32
"5061",30,398,13119,4095857.55159,2386103901.41,18273,2865499.78312,2853081750.53,121975.9982
"5069",157,398,6444,762387.267075,2013881876.76,18273,2865499.78312,2853081750.53,122052.7237
"5082",53,191,4682,912665.799095,1487622720.29,12392,851620.791604,1335617285.69,122262.5037
"5092",51,158,4748,467952.886776,552135041.351,1567,214287.566148,559532664.465,122339.4946
"5098",31,156,7791,1386961.45355,1464916864.12,11821,2108768.4648,2399304474.9,122402.891
"5101",53,164,4682,912665.799095,1487622720.29,4422,1353925.34857,1298060591.31,122444.331
"5109",54,194,7496,1743542.55719,3588231108.57,2623,483442.524083,707446827.694,122541.2019
"5123",152,403,4405,401341.364698,370814966.197,15441,2169803.70952,3282264497.41,122733.049
"5161",53,55,4682,912665.799095,1487622720.29,1864,258598.894036,986638704.338,123219.5807
"5173",52,192,3322,644082.819848,1222412983.43,6804,254705.268791,468640572.712,123307.4903
"5188",164,392,4422,1353925.34857,1298060591.31,9776,1243583.09089,2738416862.82,123506.6554
"5199",161,169,14629,2385326.96972,2453624839.04,11576,1654242.92381,2374629754,123608.3838
"5207",152,190,4405,401341.364698,370814966.197,11327,1453769.54938,1253986034.33,123671.7727
"5216",21,152,1267,568204.43722,755611618.824,4405,401341.364698,370814966.197,123842.3427
"5222",21,153,1267,568204.43722,755611618.824,5038,635197.844155,774426440.254,123911.4107
"5231",155,158,17884,2205895.39613,2768996075.97,1567,214287.566148,559532664.465,124092.3213
"5239",54,177,7496,1743542.55719,3588231108.57,13356,809238.423438,1071549764.86,124172.5375
"5251",168,392,723,292231.105356,563366373.427,9776,1243583.09089,2738416862.82,124325.6656
"5256",166,393,7947,1973887.79158,2383726910.88,12219,2180114.27068,2583118256.45,124372.4065
"5259",155,203,17884,2205895.39613,2768996075.97,4917,448622.339202,503930913.697,124399.1732
"5265",25,32,3170,1425934.38347,926104627.813,4122,815584.334193,1103268621.73,124467.3985
"5278",151,158,22241,3147846.5546,2581405676.79,1567,214287.566148,559532664.465,124722.2841
"5288",157,190,6444,762387.267075,2013881876.76,11327,1453769.54938,1253986034.33,124868.2344
"5299",160,166,16718,2641165.17254,2206591411.82,7947,1973887.79158,2383726910.88,125079.3957
"5302",41,158,11123,820589.353485,977864406.906,1567,214287.566148,559532664.465,125108.6828
"5311",162,170,4472,1087840.26405,1164200708.05,9507,921322.489428,902943239.364,125162.6656
"5320",24,394,11400,1641291.23625,1203390876.26,19514,2269045.99455,2958449434.35,125234.7012
"5336",50,212,10880,1109494.62789,1634992073.48,12839,2820052.67618,3728259662.3,125420.9573
"5353",53,155,4682,912665.799095,1487622720.29,17884,2205895.39613,2768996075.97,125624.2667
"5365",30,31,13119,4095857.55159,2386103901.41,7791,1386961.45355,1464916864.12,125717.7079
"5371",212,403,12839,2820052.67618,3728259662.3,15441,2169803.70952,3282264497.41,125808.0681
"5374",26,154,3908,1385356.19187,944438320.092,12648,996600.27872,1230838377.06,125846.4418
"5378",29,150,17370,2752283.46207,1595089814.57,17952,3733456.30238,2413788748.91,125930.066
"5380",29,148,17370,2752283.46207,1595089814.57,421,678967.659273,653775833.434,125948.7143
"5396",52,178,3322,644082.819848,1222412983.43,6188,781232.492791,601116832.259,126146.6926
"5402",43,164,920,329116.870826,556605641.277,4422,1353925.34857,1298060591.31,126227.453
"5408",50,160,10880,1109494.62789,1634992073.48,16718,2641165.17254,2206591411.82,126260.692
"5416",194,403,2623,483442.524083,707446827.694,15441,2169803.70952,3282264497.41,126427.9484
"5419",24,32,11400,1641291.23625,1203390876.26,4122,815584.334193,1103268621.73,126456.491
"5422",176,212,7281,994620.80025,1612982961.02,12839,2820052.67618,3728259662.3,126490.7854
"5426",166,398,7947,1973887.79158,2383726910.88,18273,2865499.78312,2853081750.53,126518.5476
"5439",177,195,13356,809238.423438,1071549764.86,2964,964286.576005,1065870641.82,126669.4318
"5448",160,169,16718,2641165.17254,2206591411.82,11576,1654242.92381,2374629754,126868.1104
"5449",23,30,489,553095.217362,722734396.623,13119,4095857.55159,2386103901.41,126871.6398
"5457",50,179,10880,1109494.62789,1634992073.48,657,146939.477626,219121912.887,127033.9395
"5460",50,153,10880,1109494.62789,1634992073.48,5038,635197.844155,774426440.254,127098.3717
"5475",172,393,10117,3003563.93521,3184286865.45,12219,2180114.27068,2583118256.45,127312.2836
"5477",162,171,4472,1087840.26405,1164200708.05,8888,1865098.79141,1899080337.91,127320.2228
"5488",28,160,6049,644498.607186,451560914.395,16718,2641165.17254,2206591411.82,127485.6439
"5492",154,191,12648,996600.27872,1230838377.06,12392,851620.791604,1335617285.69,127525.8269
"5511",151,162,22241,3147846.5546,2581405676.79,4472,1087840.26405,1164200708.05,127753.1352
"5513",51,154,4748,467952.886776,552135041.351,12648,996600.27872,1230838377.06,127797.6852
"5525",164,393,4422,1353925.34857,1298060591.31,12219,2180114.27068,2583118256.45,127930.101
"5529",152,159,4405,401341.364698,370814966.197,5153,282045.166749,188168169.193,127964.2677
"5541",152,179,4405,401341.364698,370814966.197,657,146939.477626,219121912.887,128128.151
"5558",192,195,6804,254705.268791,468640572.712,2964,964286.576005,1065870641.82,128320.0591
"5559",52,154,3322,644082.819848,1222412983.43,12648,996600.27872,1230838377.06,128335.2412
"5564",194,208,2623,483442.524083,707446827.694,9352,1548478.95706,1780963677.62,128411.7515
"5567",32,162,4122,815584.334193,1103268621.73,4472,1087840.26405,1164200708.05,128467.0992
"5570",51,195,4748,467952.886776,552135041.351,2964,964286.576005,1065870641.82,128504.5635
"5577",30,151,13119,4095857.55159,2386103901.41,22241,3147846.5546,2581405676.79,128582.4338
"5579",154,177,12648,996600.27872,1230838377.06,13356,809238.423438,1071549764.86,128658.1727
"5583",27,31,13653,2093613.60365,1231105140.44,7791,1386961.45355,1464916864.12,128668.3182
"5634",42,156,8402,438182.504918,468727696.46,11821,2108768.4648,2399304474.9,129212.3787
"5660",26,155,3908,1385356.19187,944438320.092,17884,2205895.39613,2768996075.97,129521.96
"5666",149,156,3286,832440.708965,527986571.806,11821,2108768.4648,2399304474.9,129593.3218
"5671",171,394,8888,1865098.79141,1899080337.91,19514,2269045.99455,2958449434.35,129652.504
"5678",158,169,1567,214287.566148,559532664.465,11576,1654242.92381,2374629754,129737.3206
"5680",30,149,13119,4095857.55159,2386103901.41,3286,832440.708965,527986571.806,129757.7786
"5690",50,152,10880,1109494.62789,1634992073.48,4405,401341.364698,370814966.197,129888.4711
"5695",28,159,6049,644498.607186,451560914.395,5153,282045.166749,188168169.193,129933.6104
"5698",392,395,9776,1243583.09089,2738416862.82,4662,897169.710945,2043592767.67,129993.9337
"5701",41,165,11123,820589.353485,977864406.906,4422,1834982.23088,1619720716.8,130022.4882
"5704",153,178,5038,635197.844155,774426440.254,6188,781232.492791,601116832.259,130048.7964
"5731",152,162,4405,401341.364698,370814966.197,4472,1087840.26405,1164200708.05,130379.8633
"5736",31,151,7791,1386961.45355,1464916864.12,22241,3147846.5546,2581405676.79,130430.2748
"5737",42,162,8402,438182.504918,468727696.46,4472,1087840.26405,1164200708.05,130431.8743
"5739",27,395,13653,2093613.60365,1231105140.44,4662,897169.710945,2043592767.67,130432.748
"5742",166,394,7947,1973887.79158,2383726910.88,19514,2269045.99455,2958449434.35,130450.7301
"5753",53,165,4682,912665.799095,1487622720.29,4422,1834982.23088,1619720716.8,130616.2348
"5773",27,153,13653,2093613.60365,1231105140.44,5038,635197.844155,774426440.254,130828.8139
"5774",41,155,11123,820589.353485,977864406.906,17884,2205895.39613,2768996075.97,130854.1719
"5779",155,192,17884,2205895.39613,2768996075.97,6804,254705.268791,468640572.712,130893.9706
"5783",25,394,3170,1425934.38347,926104627.813,19514,2269045.99455,2958449434.35,130932.1196
"5788",153,158,5038,635197.844155,774426440.254,1567,214287.566148,559532664.465,131009.6891
"5791",51,204,4748,467952.886776,552135041.351,3405,633931.66063,1246649832.2,131039.0807
"5804",156,166,11821,2108768.4648,2399304474.9,7947,1973887.79158,2383726910.88,131311.6581
"5821",157,211,6444,762387.267075,2013881876.76,22810,1003947.61376,1482326892.8,131555.3958
"5825",163,403,5807,2029951.87686,3143356248.5,15441,2169803.70952,3282264497.41,131588.2226
"5845",51,196,4748,467952.886776,552135041.351,3489,711644.720915,931211320.671,131893.915
"5847",28,153,6049,644498.607186,451560914.395,5038,635197.844155,774426440.254,131910.5325
"5858",150,398,17952,3733456.30238,2413788748.91,18273,2865499.78312,2853081750.53,132011.4543
"5872",52,160,3322,644082.819848,1222412983.43,16718,2641165.17254,2206591411.82,132184.192
"5887",22,152,673,819693.164624,781914542.069,4405,401341.364698,370814966.197,132329.6043
"5892",176,403,7281,994620.80025,1612982961.02,15441,2169803.70952,3282264497.41,132358.7551
"5907",156,177,11821,2108768.4648,2399304474.9,13356,809238.423438,1071549764.86,132495.8642
"5950",155,398,17884,2205895.39613,2768996075.97,18273,2865499.78312,2853081750.53,133052.9103
"5965",25,398,3170,1425934.38347,926104627.813,18273,2865499.78312,2853081750.53,133133.3058
"5970",179,403,657,146939.477626,219121912.887,15441,2169803.70952,3282264497.41,133201.2346
"5977",167,394,1567,507664.349505,919263103.236,19514,2269045.99455,2958449434.35,133285.5056
"5984",53,398,4682,912665.799095,1487622720.29,18273,2865499.78312,2853081750.53,133360.6057
"5990",24,154,11400,1641291.23625,1203390876.26,12648,996600.27872,1230838377.06,133480.9483
"6007",41,169,11123,820589.353485,977864406.906,11576,1654242.92381,2374629754,133736.9704
"6014",154,179,12648,996600.27872,1230838377.06,657,146939.477626,219121912.887,133815.1767
"6028",148,154,421,678967.659273,653775833.434,12648,996600.27872,1230838377.06,133907.262
"6029",52,61,3322,644082.819848,1222412983.43,8912,1517995.98185,1978683680.72,133907.5476
"6040",191,212,12392,851620.791604,1335617285.69,12839,2820052.67618,3728259662.3,133980.79
"6047",32,151,4122,815584.334193,1103268621.73,22241,3147846.5546,2581405676.79,134038.1267
"6072",151,157,22241,3147846.5546,2581405676.79,6444,762387.267075,2013881876.76,134392.8986
"6089",51,155,4748,467952.886776,552135041.351,17884,2205895.39613,2768996075.97,134573.5128
"6090",54,162,7496,1743542.55719,3588231108.57,4472,1087840.26405,1164200708.05,134575.1386
"6099",157,164,6444,762387.267075,2013881876.76,4422,1353925.34857,1298060591.31,134676.5901
"6105",161,403,14629,2385326.96972,2453624839.04,15441,2169803.70952,3282264497.41,134733.4684
"6109",53,211,4682,912665.799095,1487622720.29,22810,1003947.61376,1482326892.8,134805.6535
"6147",157,192,6444,762387.267075,2013881876.76,6804,254705.268791,468640572.712,135304.0404
"6179",54,211,7496,1743542.55719,3588231108.57,22810,1003947.61376,1482326892.8,135589.6273
"6180",25,152,3170,1425934.38347,926104627.813,4405,401341.364698,370814966.197,135589.7342
"6194",399,404,1,1289322.80255,5423077896.19,1,2394197.12194,3045288172.51,135725.2208
"6200",392,394,9776,1243583.09089,2738416862.82,19514,2269045.99455,2958449434.35,135794.3635
"6205",157,212,6444,762387.267075,2013881876.76,12839,2820052.67618,3728259662.3,135831.0364
"6216",32,160,4122,815584.334193,1103268621.73,16718,2641165.17254,2206591411.82,135915.3863
"6245",53,178,4682,912665.799095,1487622720.29,6188,781232.492791,601116832.259,136467.533
"6250",175,190,17187,2353037.01825,2922732511.91,11327,1453769.54938,1253986034.33,136525.2281
"6254",178,193,6188,781232.492791,601116832.259,1139,246566.008858,747489017.086,136541.5354
"6265",176,190,7281,994620.80025,1612982961.02,11327,1453769.54938,1253986034.33,136734.9962
"6271",161,166,14629,2385326.96972,2453624839.04,7947,1973887.79158,2383726910.88,136778.1649
"6275",26,160,3908,1385356.19187,944438320.092,16718,2641165.17254,2206591411.82,136794.563
"6277",24,160,11400,1641291.23625,1203390876.26,16718,2641165.17254,2206591411.82,136930.6657
"6284",53,166,4682,912665.799095,1487622720.29,7947,1973887.79158,2383726910.88,137005.0627
"6293",53,152,4682,912665.799095,1487622720.29,4405,401341.364698,370814966.197,137202.2103
"6299",170,398,9507,921322.489428,902943239.364,18273,2865499.78312,2853081750.53,137231.1245
"6313",22,153,673,819693.164624,781914542.069,5038,635197.844155,774426440.254,137426.448
"6332",42,395,8402,438182.504918,468727696.46,4662,897169.710945,2043592767.67,137631.2727
"6342",42,155,8402,438182.504918,468727696.46,17884,2205895.39613,2768996075.97,137736.947
"6344",157,165,6444,762387.267075,2013881876.76,4422,1834982.23088,1619720716.8,137766.1656
"6348",41,395,11123,820589.353485,977864406.906,4662,897169.710945,2043592767.67,137787.2515
"6360",52,162,3322,644082.819848,1222412983.43,4472,1087840.26405,1164200708.05,137932.1931
"6361",159,393,5153,282045.166749,188168169.193,12219,2180114.27068,2583118256.45,137951.6276
"6389",32,392,4122,815584.334193,1103268621.73,9776,1243583.09089,2738416862.82,138352.285
"6408",52,204,3322,644082.819848,1222412983.43,3405,633931.66063,1246649832.2,138551.5656
"6412",51,163,4748,467952.886776,552135041.351,5807,2029951.87686,3143356248.5,138597.8534
"6429",29,152,17370,2752283.46207,1595089814.57,4405,401341.364698,370814966.197,138840.7316
"6430",32,164,4122,815584.334193,1103268621.73,4422,1353925.34857,1298060591.31,138842.795
"6442",173,393,1505,658235.945779,635414583.385,12219,2180114.27068,2583118256.45,138952.6471
"6443",148,161,421,678967.659273,653775833.434,14629,2385326.96972,2453624839.04,138953.2682
"6446",53,168,4682,912665.799095,1487622720.29,723,292231.105356,563366373.427,139003.9349
"6456",177,179,13356,809238.423438,1071549764.86,657,146939.477626,219121912.887,139146.9984
"6462",150,160,17952,3733456.30238,2413788748.91,16718,2641165.17254,2206591411.82,139211.5574
"6468",158,394,1567,214287.566148,559532664.465,19514,2269045.99455,2958449434.35,139345.9524
"6471",163,171,5807,2029951.87686,3143356248.5,8888,1865098.79141,1899080337.91,139387.8047
"6475",150,179,17952,3733456.30238,2413788748.91,657,146939.477626,219121912.887,139432.8369
"6502",32,171,4122,815584.334193,1103268621.73,8888,1865098.79141,1899080337.91,139701.2252
"6507",395,398,4662,897169.710945,2043592767.67,18273,2865499.78312,2853081750.53,139756.4354
"6512",26,394,3908,1385356.19187,944438320.092,19514,2269045.99455,2958449434.35,139812.0815
"6521",191,195,12392,851620.791604,1335617285.69,2964,964286.576005,1065870641.82,139915.4764
"6564",23,155,489,553095.217362,722734396.623,17884,2205895.39613,2768996075.97,140488.491
"6582",178,194,6188,781232.492791,601116832.259,2623,483442.524083,707446827.694,140696.8591
"6593",160,168,16718,2641165.17254,2206591411.82,723,292231.105356,563366373.427,140798.0379
"6603",156,191,11821,2108768.4648,2399304474.9,12392,851620.791604,1335617285.69,140932.8241
"6611",23,161,489,553095.217362,722734396.623,14629,2385326.96972,2453624839.04,141073.4559
"6625",152,178,4405,401341.364698,370814966.197,6188,781232.492791,601116832.259,141180.0052
"6626",27,160,13653,2093613.60365,1231105140.44,16718,2641165.17254,2206591411.82,141186.847
"6644",50,193,10880,1109494.62789,1634992073.48,1139,246566.008858,747489017.086,141409.7106
"6647",149,394,3286,832440.708965,527986571.806,19514,2269045.99455,2958449434.35,141446.5891
"6665",163,173,5807,2029951.87686,3143356248.5,1505,658235.945779,635414583.385,141635.7736
"6690",168,393,723,292231.105356,563366373.427,12219,2180114.27068,2583118256.45,141917.3773
"6707",196,211,3489,711644.720915,931211320.671,22810,1003947.61376,1482326892.8,142064.5062
"6724",33,393,13956,2689645.37194,1798344837.1,12219,2180114.27068,2583118256.45,142292.4649
"6726",52,208,3322,644082.819848,1222412983.43,9352,1548478.95706,1780963677.62,142319.7808
"6756",156,168,11821,2108768.4648,2399304474.9,723,292231.105356,563366373.427,142624.2372
"6757",192,212,6804,254705.268791,468640572.712,12839,2820052.67618,3728259662.3,142626.6319
"6775",52,176,3322,644082.819848,1222412983.43,7281,994620.80025,1612982961.02,142842.8319
"6776",61,204,8912,1517995.98185,1978683680.72,3405,633931.66063,1246649832.2,142851.4635
"6779",24,155,11400,1641291.23625,1203390876.26,17884,2205895.39613,2768996075.97,142878.2959
"6781",42,158,8402,438182.504918,468727696.46,1567,214287.566148,559532664.465,142895.6857
"6782",156,178,11821,2108768.4648,2399304474.9,6188,781232.492791,601116832.259,142897.6772
"6786",26,32,3908,1385356.19187,944438320.092,4122,815584.334193,1103268621.73,142973.8432
"6789",54,168,7496,1743542.55719,3588231108.57,723,292231.105356,563366373.427,142983.1933
"6798",156,394,11821,2108768.4648,2399304474.9,19514,2269045.99455,2958449434.35,143094.1961
"6804",158,167,1567,214287.566148,559532664.465,1567,507664.349505,919263103.236,143166.0801
"6814",25,161,3170,1425934.38347,926104627.813,14629,2385326.96972,2453624839.04,143305.5838
"6820",156,190,11821,2108768.4648,2399304474.9,11327,1453769.54938,1253986034.33,143437.0327
"6829",194,203,2623,483442.524083,707446827.694,4917,448622.339202,503930913.697,143493.2436
"6837",54,204,7496,1743542.55719,3588231108.57,3405,633931.66063,1246649832.2,143608.5062
"6843",175,208,17187,2353037.01825,2922732511.91,9352,1548478.95706,1780963677.62,143664.2228
"6867",30,161,13119,4095857.55159,2386103901.41,14629,2385326.96972,2453624839.04,143917.7641
"6902",25,153,3170,1425934.38347,926104627.813,5038,635197.844155,774426440.254,144236.2443
"6911",28,154,6049,644498.607186,451560914.395,12648,996600.27872,1230838377.06,144293.9904
"6912",162,403,4472,1087840.26405,1164200708.05,15441,2169803.70952,3282264497.41,144325.792
"6926",50,163,10880,1109494.62789,1634992073.48,5807,2029951.87686,3143356248.5,144549.7092
"6954",59,204,2618,312023.509273,498690546.22,3405,633931.66063,1246649832.2,144827.1762
"6969",23,398,489,553095.217362,722734396.623,18273,2865499.78312,2853081750.53,144986.1847
"6977",54,164,7496,1743542.55719,3588231108.57,4422,1353925.34857,1298060591.31,145053.6421
"7001",177,204,13356,809238.423438,1071549764.86,3405,633931.66063,1246649832.2,145292.1197
"7022",43,392,920,329116.870826,556605641.277,9776,1243583.09089,2738416862.82,145629.7244
"7036",55,163,1864,258598.894036,986638704.338,5807,2029951.87686,3143356248.5,145850.2366
"7056",22,398,673,819693.164624,781914542.069,18273,2865499.78312,2853081750.53,146114.9523
"7064",158,177,1567,214287.566148,559532664.465,13356,809238.423438,1071549764.86,146195.8213
"7077",29,159,17370,2752283.46207,1595089814.57,5153,282045.166749,188168169.193,146332.5056
"7087",163,394,5807,2029951.87686,3143356248.5,19514,2269045.99455,2958449434.35,146433.0466
"7088",51,160,4748,467952.886776,552135041.351,16718,2641165.17254,2206591411.82,146441.369
"7090",50,161,10880,1109494.62789,1634992073.48,14629,2385326.96972,2453624839.04,146444.809
"7097",23,154,489,553095.217362,722734396.623,12648,996600.27872,1230838377.06,146520.9503
"7099",54,160,7496,1743542.55719,3588231108.57,16718,2641165.17254,2206591411.82,146555.3257
"7100",31,154,7791,1386961.45355,1464916864.12,12648,996600.27872,1230838377.06,146559.5229
"7103",42,165,8402,438182.504918,468727696.46,4422,1834982.23088,1619720716.8,146595.6599
"7115",52,190,3322,644082.819848,1222412983.43,11327,1453769.54938,1253986034.33,146710.4356
"7118",158,174,1567,214287.566148,559532664.465,2170,673784.609775,733950779.508,146786.0961
"7126",53,153,4682,912665.799095,1487622720.29,5038,635197.844155,774426440.254,146837.5901
"7131",42,169,8402,438182.504918,468727696.46,11576,1654242.92381,2374629754,146874.3488
"7167",156,169,11821,2108768.4648,2399304474.9,11576,1654242.92381,2374629754,147289.2869
"7170",43,165,920,329116.870826,556605641.277,4422,1834982.23088,1619720716.8,147325.9067
"7175",28,169,6049,644498.607186,451560914.395,11576,1654242.92381,2374629754,147391.1845
