"","INPUT_FID","NEAR_FID","DISTANCE"
"1741",26,41,70531.88213
"1742",190,192,70532.94389
"1748",171,393,70635.2451
"1756",204,212,70825.39435
"1764",157,160,71077.90227
"1766",169,394,71136.50826
"1784",155,190,71724.91365
"1787",151,154,71808.27992
"1792",52,212,71852.47864
"1798",163,166,71986.52361
"1805",22,148,72202.30319
"1819",159,169,72431.76215
"1830",176,194,72571.40881
"1843",162,166,72745.97828
"1848",151,398,72878.09625
"1855",50,52,73141.77428
"1871",54,212,73353.18988
"1874",42,161,73369.0081
"1882",30,32,73494.71679
"1884",31,162,73517.06342
"1888",50,190,73600.8715
"1914",29,32,74092.81033
"1936",22,29,74518.69855
"1939",22,28,74558.06777
"1940",51,53,74600.25615
"1945",167,392,74839.99849
"1947",394,395,74870.48156
"1955",156,159,74988.72541
"1969",165,174,75368.43236
"1973",21,149,75519.8375
"1977",51,157,75586.71868
"1981",28,32,75633.17577
"1996",168,172,75825.41356
"2010",41,394,76089.82738
"2039",175,191,76722.47116
"2041",163,168,76764.58175
"2048",159,166,76949.14978
"2060",177,203,77212.6908
"2070",50,211,77425.0351
"2078",31,170,77587.104
"2079",166,173,77623.97611
"2083",28,394,77681.38991
"2084",160,163,77686.42612
"2101",52,177,78042.91861
"2104",51,212,78061.48996
"2120",148,151,78398.94738
"2129",154,158,78554.13578
"2135",43,174,78655.66267
"2141",152,160,78780.01482
"2146",21,27,78883.55873
"2149",27,149,78904.04579
"2169",168,171,79235.28822
"2175",175,176,79299.9996
"2176",50,175,79301.0036
"2182",23,27,79388.7246
"2198",30,42,79729.21324
"2199",170,174,79742.18621
"2207",61,196,79825.41649
"2217",41,152,79991.43092
"2230",28,151,80218.10146
"2246",169,392,80532.75875
"2250",157,163,80586.38309
"2256",31,164,80723.05133
"2261",169,174,80790.0915
"2262",165,170,80805.04641
"2299",156,398,81394.67079
"2306",165,171,81511.51584
"2311",50,53,81620.05792
"2317",190,403,81748.69944
"2325",51,194,81876.60513
"2338",164,171,82048.76587
"2340",27,151,82055.35912
"2351",23,151,82240.19759
"2358",159,394,82462.47453
"2360",59,196,82496.99274
"2362",151,160,82509.86188
"2363",22,42,82525.80032
"2391",29,394,82900.14882
"2394",28,398,82999.86118
"2404",26,29,83243.43383
"2409",192,403,83402.80418
"2410",154,403,83407.97108
"2414",22,149,83473.39961
"2417",26,152,83488.11155
"2420",175,192,83545.06586
"2426",178,179,83589.00049
"2430",51,54,83612.29528
"2438",148,153,83782.16251
"2444",177,190,83846.658
"2454",41,160,83937.53547
"2457",42,394,83985.38068
"2484",166,172,84363.82258
"2493",53,160,84491.32183
"2498",28,149,84647.98475
"2501",22,150,84682.67453
"2502",178,211,84699.34994
"2505",175,193,84724.77854
"2510",175,403,84789.66177
"2525",208,212,85073.84554
"2534",176,177,85177.43752
"2536",32,169,85224.41419
"2547",51,192,85377.50047
"2552",393,395,85518.14168
"2567",42,152,85751.09983
"2573",155,179,85842.10582
"2574",158,398,85843.24404
"2580",158,164,85975.10214
"2589",195,211,86043.9683
"2595",156,403,86126.62539
"2597",32,398,86162.67473
"2598",155,403,86163.39949
"2622",176,191,86557.90507
"2633",165,398,86714.20328
"2639",158,165,86855.22833
"2641",32,41,86916.92843
"2642",31,161,86918.72587
"2651",43,168,86985.73234
"2670",203,211,87247.21735
"2680",174,392,87477.12933
"2689",24,30,87673.15077
"2691",162,169,87747.01433
"2696",211,403,87797.95027
"2711",23,42,87953.12143
"2727",175,195,88122.41096
"2738",151,155,88334.81438
"2750",152,156,88476.16973
"2758",25,41,88642.78055
"2765",153,161,88785.60879
"2767",30,394,88837.31378
"2768",26,153,88850.63008
"2769",22,30,88853.43663
"2771",30,395,88881.84462
"2774",166,170,88954.38366
"2776",162,168,89055.20315
"2780",148,152,89141.06381
"2782",42,150,89210.66748
"2786",50,155,89245.65706
"2789",25,149,89375.91264
"2796",172,392,89485.76621
"2807",149,161,89662.06685
"2816",53,162,89805.28063
"2819",155,178,89837.39194
"2822",177,194,89851.79114
"2828",179,203,90028.41649
"2845",32,42,90318.96642
"2857",50,203,90536.28543
"2866",25,148,90644.61362
"2868",194,196,90696.51872
"2878",154,398,90844.31847
"2893",31,41,91193.07901
"2896",30,41,91240.25704
"2906",152,398,91392.82817
"2938",54,157,92033.13762
"2940",52,55,92067.40076
"2946",165,394,92182.6287
"2956",168,169,92312.6202
"2973",176,203,92550.21066
"2974",54,61,92563.78757
"2981",149,154,92690.92907
"2985",53,154,92816.84636
"2988",157,162,92880.66358
"2989",50,154,92887.085
"2995",51,178,92977.74352
"3029",31,166,93408.48079
"3032",164,170,93454.30723
"3059",193,204,93848.78887
"3063",24,152,93972.88547
"3086",192,193,94330.42171
"3088",175,204,94364.6379
"3098",160,165,94510.6879
"3119",54,163,94767.19501
"3125",155,156,94940.70004
"3133",31,393,95090.15092
"3144",27,32,95236.29387
"3147",211,212,95278.40115
"3153",157,177,95386.49577
"3154",149,155,95444.1295
"3157",161,394,95525.15917
"3159",167,393,95584.86714
"3183",52,211,96022.36259
"3184",170,394,96038.46817
"3210",23,28,96441.79843
"3214",41,159,96488.70411
"3231",31,160,96754.92196
"3234",157,161,96853.6144
"3255",41,150,97090.03128
"3260",43,167,97148.81302
"3266",159,168,97218.74254
"3273",153,160,97269.63117
"3277",21,42,97365.80984
"3296",155,157,97602.14426
"3318",164,173,97897.52061
"3331",42,148,98083.99185
"3348",204,208,98368.9021
"3350",32,393,98412.93674
"3354",27,148,98462.52319
"3372",21,28,98662.15008
"3377",41,153,98702.91495
"3379",25,150,98728.71487
"3384",27,150,98791.11167
"3385",27,394,98800.28912
"3407",50,156,99128.28365
"3433",52,158,99502.46074
"3438",150,155,99568.97182
"3445",33,395,99639.07093
"3456",28,161,99796.50685
"3462",149,398,99874.7991
"3465",195,212,99916.43459
"3470",169,398,99977.99057
"3473",54,175,99992.00746
"3495",27,398,100334.443
"3506",22,41,100497.8718
"3507",52,194,100509.0802
"3512",393,394,100584.2533
"3515",31,167,100650.8008
"3518",161,165,100672.6947
"3530",161,163,100908.5671
"3538",23,153,101084.5232
"3539",170,172,101110.9857
"3549",21,151,101223.7604
"3550",42,160,101232.2489
"3558",41,154,101366.5502
"3586",31,395,101846.7217
"3593",23,152,101928.6121
"3596",155,160,101959.386
"3609",23,41,102144.8955
"3611",25,151,102151.0319
"3615",42,153,102212.8633
"3616",52,156,102219.6762
"3617",32,170,102221.5324
"3623",52,191,102288.4581
"3626",29,398,102327.0174
"3645",24,153,102543.8066
"3646",29,151,102545.9678
"3655",22,151,102630.2481
"3661",153,156,102723.7495
"3663",151,156,102767.029
"3667",31,171,102787.1484
"3669",158,403,102833.1769
"3675",61,212,102944.2001
"3687",203,403,103180.9521
"3708",21,29,103621.4058
"3710",173,392,103632.9224
"3725",29,395,103827.4706
"3753",29,149,104134.943
"3759",164,172,104272.4439
"3764",158,166,104319.1626
"3776",154,162,104441.4231
"3781",31,42,104553.4028
"3784",159,167,104566.0356
"3785",53,177,104584.3182
"3788",155,161,104606.0096
"3800",160,164,104856.7865
"3812",162,394,105043.4922
"3825",54,196,105192.2606
"3856",177,193,105567.3499
"3874",54,158,105794.5032
"3880",32,159,105885.3564
"3911",23,29,106346.3462
"3925",168,170,106601.1497
"3935",26,30,106796.0537
"3944",43,166,106909.9486
"3950",52,163,107020.564
"3958",162,167,107188.4745
"3959",24,398,107211.1611
"3963",192,194,107280.9987
"3966",170,395,107304.421
"3972",28,31,107460.0892
"3983",163,398,107609.7475
"3985",164,398,107630.5383
"4008",157,191,107979.7707
"4025",175,178,108163.0867
"4038",153,179,108309.9683
"4047",177,212,108430.7149
"4048",51,176,108482.0464
"4057",156,165,108563.4769
"4092",176,178,109034.0958
"4100",41,148,109144.7097
"4114",155,191,109393.8945
"4120",28,150,109469.3365
"4121",153,190,109480.9048
"4122",154,159,109496.8099
"4124",191,194,109507.8235
"4128",175,196,109571.7621
"4147",169,395,109964.5751
"4151",154,190,110011.5947
"4158",170,173,110176.2908
"4162",157,159,110222.9224
"4170",24,161,110366.5599
"4178",53,159,110467.2812
"4223",149,160,111185.2338
"4232",159,170,111269.6592
"4236",150,154,111338.7928
"4249",152,157,111512.4297
"4258",53,175,111642.7422
"4269",191,193,111755.0376
"4280",26,161,111865.723
"4291",156,164,112098.2495
"4294",53,161,112172.8627
"4297",54,403,112183.7232
"4303",41,162,112286.5708
"4304",31,158,112300.7764
"4314",204,211,112499.6579
"4320",153,398,112548.1402
"4323",41,156,112622.1704
"4326",31,163,112655.1428
"4329",43,171,112674.8503
"4331",165,393,112709.6309
"4344",28,148,112848.2763
"4348",174,393,112871.9092
"4361",32,165,113029.5688
"4362",163,167,113036.393
"4364",163,174,113069.7454
"4365",166,392,113135.9906
"4376",27,161,113295.7173
"4385",42,154,113421.8311
"4400",21,41,113593.0764
"4408",160,403,113746.0294
"4410",26,398,113762.702
"4422",160,394,113949.3894
"4427",55,204,114018.4519
"4430",158,168,114059.258
"4435",195,196,114181.5856
"4438",42,159,114207.7474
"4447",162,174,114280.0387
"4459",190,211,114360.171
"4460",54,208,114400.2779
"4465",165,173,114459.8374
"4491",55,175,114893.0834
"4513",159,174,115091.3118
"4519",179,191,115160.3717
"4525",169,172,115217.4814
"4530",28,395,115322.5687
"4538",152,158,115441.2039
"4553",176,204,115660.3466
"4557",32,161,115697.5809
"4569",157,175,115808.6123
"4600",51,156,116161.7611
"4601",50,158,116180.7103
"4603",163,169,116200.5173
"4622",28,152,116412.0789
"4639",161,164,116695.5997
"4644",157,178,116769.186
