"","INPUT_FID","NEAR_FID","DISTANCE"
"9057",42,157,167079.4632
"9062",27,162,167113.9986
"9065",179,211,167118.398
"9087",29,154,167311.4473
"9090",28,158,167365.1838
"9152",158,212,168049.0749
"9156",21,154,168074.5906
"9160",41,53,168123.1096
"9166",152,165,168237.828
"9182",178,195,168382.9844
"9193",28,155,168466.8615
"9198",155,175,168510.0291
"9206",156,192,168588.8224
"9214",156,167,168647.1742
"9220",27,169,168689.542
"9225",157,179,168743.6878
"9234",54,192,168848.0046
"9239",158,190,168876.8312
"9271",195,403,169167.9267
"9285",27,156,169286.5984
"9286",29,165,169287.1473
"9290",59,194,169363.7556
"9298",161,395,169427.8949
"9314",42,164,169546.8669
"9316",27,155,169554.2292
"9318",51,152,169607.2747
"9323",32,163,169668.4502
"9324",163,177,169690.8197
"9359",42,163,170000.251
"9369",51,153,170104.1547
"9375",190,194,170182.1193
"9381",23,394,170241.2039
"9387",154,211,170311.7482
"9389",54,195,170316.5703
"9411",153,394,170532.0118
"9425",41,166,170666.7515
"9429",156,211,170694.3591
"9431",30,160,170711.4314
"9437",153,163,170768.6376
"9446",161,190,170869.9063
"9454",25,160,170966.3173
"9482",51,161,171228.9592
"9500",153,192,171476.3253
"9504",29,393,171526.7722
"9527",23,32,171773.8455
"9539",149,403,171912.6647
"9547",151,169,172006.8257
"9552",51,179,172052.1222
"9556",53,203,172127.1828
"9570",52,168,172253.0806
"9587",150,394,172401.9095
"9613",31,153,172608.2944
"9635",163,175,172880.3469
"9638",24,162,172900.1303
"9641",52,152,172931.3374
"9667",54,178,173200.2041
"9683",32,168,173380.3452
"9686",50,159,173445.2075
"9697",28,170,173548.0801
"9708",50,204,173639.1476
"9720",156,174,173780.4997
"9724",156,212,173823.2779
"9726",25,154,173824.5183
"9732",28,393,173862.2227
"9734",22,154,173873.0986
"9738",164,395,173925.896
"9750",21,32,174008.0254
"9791",54,161,174407.3634
"9799",33,394,174469.5384
"9813",30,170,174708.194
"9848",61,168,175074.9018
"9868",162,395,175267.6169
"9875",50,398,175355.9123
"9891",52,166,175472.7541
"9894",32,154,175533.5248
"9896",160,171,175551.1288
"9897",21,394,175555.1697
"9912",161,174,175667.1642
"9921",55,168,175745.2666
"9934",148,156,175871.9303
"9940",52,165,175904.0683
"9941",29,170,175905.2302
"9944",43,162,175964.7795
"9947",53,169,176022.7734
"9970",151,164,176242.6788
"9974",41,393,176269.6726
"9986",152,203,176443.0518
"9988",33,392,176447.7375
"9990",33,170,176452.6756
"10019",154,166,176654.0132
"10026",22,395,176699.7415
"10085",26,162,177157.0635
"10088",27,165,177182.7208
"10098",59,175,177261.8139
"10103",53,174,177300.6224
"10112",151,178,177407.178
"10119",156,179,177482.8991
"10136",23,179,177706.0155
"10155",55,156,177945.9547
"10158",150,157,177990.7943
"10160",52,153,178015.4398
"10162",208,211,178023.1279
"10170",22,155,178072.0544
"10176",161,171,178102.1628
"10181",42,170,178135.7681
"10184",53,167,178157.1211
"10189",148,190,178248.792
"10201",204,403,178402.179
"10223",29,156,178588.362
"10226",22,160,178607.3794
"10240",158,173,178743.4927
"10241",50,149,178745.3405
"10249",157,176,178798.1668
"10271",150,159,179078.7698
"10275",53,208,179113.8331
"10276",161,178,179114.8687
"10287",54,176,179271.6475
"10288",50,196,179274.3681
"10297",43,61,179361.832
"10298",196,403,179369.1494
"10303",32,150,179423.7338
"10307",150,158,179449.336
"10309",203,212,179460.7881
"10312",392,398,179514.4403
"10316",26,158,179581.9354
"10326",166,395,179696.2437
"10331",30,153,179716.6489
"10337",24,158,179801.9142
"10345",154,169,179860.125
"10350",30,165,179929.6054
"10354",55,193,179981.9513
"10412",157,169,180584.9442
"10453",158,211,180944.538
"10456",163,392,180960.2554
"10476",152,192,181127.3416
"10496",22,31,181315.3797
"10506",54,193,181396.8644
"10508",28,164,181412.8863
"10520",26,179,181503.9489
"10561",161,177,181881.1318
"10570",163,393,181973.6854
"10572",161,393,181999.4851
"10574",148,394,182046.6737
"10578",52,398,182074.6542
"10581",176,179,182111.6315
"10590",43,393,182239.7962
"10591",156,203,182252.4282
"10593",152,164,182277.6192
"10604",53,149,182414.9126
"10614",27,158,182478.1832
"10615",25,159,182490.0543
"10638",21,160,182706.8095
"10645",53,176,182802.5017
"10648",55,191,182829.9984
"10662",30,162,183044.3837
"10676",157,394,183169.4313
"10680",51,159,183211.1648
"10685",150,403,183263.0455
"10697",41,403,183392.4759
"10706",54,174,183473.42
"10716",43,159,183557.5125
"10783",23,156,184290.7212
"10786",26,395,184316.1014
"10791",61,157,184374.279
"10798",42,393,184459.995
"10802",174,395,184507.033
"10805",157,196,184520.9697
"10819",29,33,184565.9217
"10822",150,178,184573.4819
"10827",25,155,184649.8307
"10831",151,395,184719.58
"10837",32,153,184791.9345
"10849",149,178,184929.3118
"10852",42,53,184952.8202
"10870",161,191,185056.7551
"10922",51,59,185597.3727
"10926",193,208,185615.8396
"10956",156,170,185847.3383
"10963",53,59,185950.5001
"10971",149,165,186025.2015
"10978",191,196,186080.5423
"10994",158,192,186188.3187
"11009",172,394,186318.4603
"11012",163,191,186352.8926
"11017",32,148,186401.1052
"11040",164,403,186702.3144
"11047",54,155,186782.5016
"11050",160,175,186800.8404
"11066",55,176,187019.2694
"11074",150,162,187072.7036
"11078",31,150,187111.2367
"11119",42,166,187472.816
"11138",53,204,187637.6754
"11140",160,179,187649.3609
"11142",55,162,187663.2024
"11154",29,158,187781.9808
"11172",158,172,187889.8892
"11186",50,150,188060.2242
"11202",162,177,188172.4843
"11215",55,164,188309.8323
"11233",153,165,188532.9835
"11259",149,163,188742.9633
"11261",41,167,188752.0503
"11266",160,395,188815.5928
"11317",53,394,189471.3474
"11325",61,158,189500.8338
"11340",161,179,189607.5683
"11349",165,403,189688.3389
"11355",156,171,189735.2432
"11369",173,394,189839.7587
"11393",154,168,190118.2671
"11398",160,393,190160.1826
"11404",26,157,190191.332
"11417",55,166,190304.3591
"11423",28,163,190425.3537
"11436",152,169,190560.6124
"11470",29,155,190880.6797
"11477",54,167,190951.9012
"11494",61,195,191124.8691
"11510",24,169,191273.3277
"11527",54,398,191480.5772
"11531",31,155,191519.1962
"11532",43,54,191522.2829
"11542",175,179,191610.1929
"11557",24,165,191704.7653
"11563",190,212,191744.7955
"11567",192,196,191763.947
"11569",157,167,191781.5725
"11635",30,154,192333.9812
"11651",23,31,192436.1298
"11670",41,168,192604.892
"11718",54,190,193091.4456
"11719",151,191,193100.8876
"11743",157,174,193360.6445
"11746",177,208,193385.5008
"11766",27,393,193648.5063
"11780",41,50,193784.7818
"11783",61,166,193797.3353
"11785",59,163,193809.0884
"11793",41,171,193871.2456
"11849",160,192,194364.0433
"11858",27,170,194481.6236
"11863",43,59,194540.2
"11888",157,193,194724.3398
"11892",29,164,194763.6378
"11899",31,43,194822.3389
"11902",53,179,194838.6835
"11911",53,193,194933.0049
"11974",23,159,195389.7245
"11978",24,157,195425.4225
"11983",33,169,195486.1659
"12001",155,176,195627.2096
"12015",28,157,195710.804
"12046",151,166,196053.9696
"12052",51,164,196138.0272
"12056",26,190,196243.2866
"12077",155,394,196394.4853
"12082",155,165,196430.9871
"12089",55,192,196485.0913
"12090",61,164,196491.6715
"12091",42,403,196493.3816
"12098",158,393,196564.8735
"12104",178,204,196626.6617
"12110",59,195,196676.3107
"12112",22,159,196709.0708
"12114",148,159,196714.4733
"12116",54,173,196744.0305
"12132",156,194,196911.4598
"12137",61,211,196936.2096
"12168",149,169,197155.4511
"12174",43,158,197205.1649
"12183",163,178,197318.9934
"12184",149,395,197337.4456
"12190",203,204,197405.8813
"12195",51,398,197449.849
"12211",28,166,197615.0535
"12227",25,156,197708.6595
"12235",190,195,197780.9795
"12262",52,151,198079.5774
"12275",151,177,198152.1051
"12280",53,195,198183.8334
"12317",32,172,198496.0684
"12320",31,33,198548.5786
"12327",154,212,198637.4175
"12332",21,179,198665.2562
"12373",158,194,199108.4366
"12381",163,211,199161.4929
"12388",163,196,199254.7453
"12389",24,179,199263.3766
"12424",51,151,199605.9577
"12451",52,179,199892.7129
"12454",59,168,199908.8073
"12456",50,164,199915.0705
"12458",160,211,199919.7011
"12467",26,165,199982.962
"12483",25,162,200097.0479
"12499",162,191,200185.3741
"12511",31,148,200304.3245
"12528",43,55,200442.1033
"12536",190,398,200512.1892
"12546",148,157,200569.2062
"12549",157,204,200581.5178
"12558",148,158,200696.0938
"12559",176,208,200730.5493
"12574",30,156,200825.6932
"12578",153,211,200856.8135
"12594",173,398,201057.8464
"12604",61,403,201103.8431
"12612",54,203,201135.5635
"12614",23,190,201147.7031
"12616",21,31,201166.9393
"12631",61,177,201270.2603
"12649",162,175,201439.4047
"12659",25,169,201545.9593
"12673",27,164,201656.1636
"12680",153,164,201710.6425
"12730",168,395,202172.1488
"12756",41,190,202424.8553
"12760",28,33,202490.104
"12766",152,166,202547.1452
"12770",163,208,202563.778
"12779",160,173,202644.7196
"12780",53,173,202646.8972
"12784",157,208,202656.4057
"12814",162,212,202865.3191
"12828",50,165,203035.9343
"12831",54,152,203064.9828
"12842",172,398,203171.2323
"12845",166,403,203197.5879
"12851",22,156,203264.4213
"12865",26,169,203380.8717
"12869",41,174,203406.2715
"12878",160,212,203472.9876
"12901",32,173,203685.2008
"12916",158,203,203796.3702
"12918",42,167,203814.7952
"12919",158,392,203819.9066
"12922",55,160,203867.9798
"12923",53,150,203873.8456
"12932",157,195,203928.9011
"12935",21,156,203959.5477
"12945",61,173,204050.5347
"12949",148,178,204075.3768
"12952",161,392,204089.8998
"12993",149,191,204425.324
"12996",53,171,204453.1443
"12998",163,190,204498.0497
"13009",160,203,204543.6578
"13027",162,178,204767.3706
"13033",155,164,204791.0649
"13046",149,164,204924.5379
"13085",51,165,205216.3592
"13116",159,177,205447.2945
"13122",148,403,205527.9336
"13143",158,179,205703.6678
"13151",208,403,205800.4633
"13153",32,157,205814.7186
"13156",162,190,205833.8592
"13158",30,164,205860.1124
"13177",152,211,206057.5115
"13187",148,162,206146.2171
"13190",153,175,206164.5247
"13195",26,403,206218.139
"13196",50,61,206220.2577
"13204",42,50,206305.531
"13231",163,194,206545.1838
"13241",160,392,206639.902
"13271",27,157,206946.8605
"13274",23,158,206961.6611
"13276",41,179,206966.5989
"13277",28,171,206971.1144
"13279",156,173,206990.6457
"13292",31,54,207110.0919
"13304",21,395,207179.3529
"13313",42,171,207247.5103
"13316",61,162,207280.4927
"13320",23,162,207315.5538
"13336",168,403,207486.1444
"13341",152,175,207508.6139
"13342",50,208,207533.8658
"13368",30,158,207803.7905
"13377",27,163,207886.7056
"13379",150,191,207892.8307
"13386",151,170,207937.1306
"13391",30,392,207976.1941
"13399",28,167,208014.8804
"13405",51,168,208051.6555
"13427",172,395,208248.5109
"13455",31,403,208528.5865
"13461",41,392,208560.1259
"13465",29,163,208615.8748
"13493",154,194,208866.6331
"13496",155,194,208901.9148
"13499",160,172,208907.7712
"13513",61,174,208999.4169
"13518",178,398,209056.9425
"13528",54,169,209171.4517
"13537",42,179,209243.8799
"13541",21,159,209267.0261
"13543",61,156,209275.5653
"13554",51,166,209336.9226
"13566",42,190,209415.7753
"13583",55,165,209595.8047
"13598",29,166,209693.4852
"13600",158,196,209707.1531
"13605",42,168,209731.2862
"13618",23,395,209821.1231
"13645",50,148,210011.5657
"13654",55,159,210096.4453
"13695",177,398,210497.1352
"13704",24,163,210609.8039
"13739",31,52,210958.7812
"13751",25,165,211084.9425
"13756",179,193,211130.9821
"13775",55,178,211307.0524
"13785",154,167,211363.4
"13787",53,170,211373.627
"13795",24,190,211413.591
"13798",43,53,211422.8669
"13824",153,169,211666.4618
"13829",161,175,211700.9838
"13839",54,153,211770.472
"13845",155,212,211823.24
"13848",27,33,211851.4737
"13855",29,171,211920.9949
"13859",28,53,211945.4494
"13866",161,192,212007.5353
"13875",54,172,212072.7477
"13894",154,176,212272.4921
"13897",28,392,212324.0821
"13903",29,392,212391.4104
"13905",59,157,212414.5339
"13915",52,174,212501.3284
"13921",158,395,212552.5203
"13925",33,171,212572.041
"13935",23,157,212666.8833
"13940",22,162,212720.8153
"13944",151,203,212733.6207
"13947",32,53,212757.3211
"13948",149,177,212757.5051
"13951",26,163,212769.8402
"13964",156,393,212871.2231
"13967",163,192,212883.3252
"13972",150,203,212914.3717
"13984",30,171,213053.719
"13991",25,158,213123.5941
"13996",26,53,213162.4206
"14001",26,50,213221.0194
"14018",32,155,213419.921
"14078",161,173,213886.0065
"14080",55,174,213906.0379
"14090",59,211,213957.2688
"14113",163,395,214149.3643
"14123",24,164,214280.4587
"14159",191,398,214584.0089
"14163",41,52,214631.2289
"14181",53,172,214764.3875
"14182",55,154,214781.2224
"14260",156,172,215479.5979
"14261",168,212,215485.8836
"14265",151,168,215524.5305
"14271",159,191,215628.0599
"14283",24,403,215726.1244
"14303",159,190,215903.2413
"14320",29,167,216070.8589
"14325",157,171,216102.303
"14352",50,166,216275.3322
"14392",52,167,216523.8716
"14428",150,163,216825.51
"14430",24,53,216834.1255
"14437",30,155,216910.1749
"14442",41,178,216951.367
"14452",151,192,217007.2898
"14453",179,398,217022.3587
"14476",156,176,217218.9506
"14479",55,173,217250.2697
"14485",152,395,217280.8926
"14486",178,196,217283.2214
"14491",149,203,217335.8029
"14497",173,395,217389.0597
"14512",159,178,217572.6784
"14545",150,165,217849.6184
"14548",156,395,217888.7845
"14553",157,170,217930.3159
"14560",29,157,217950.2549
"14576",161,172,218139.1563
"14582",161,203,218163.8229
"14585",164,212,218198.8116
"14587",27,166,218218.9654
"14629",26,178,218564.4539
"14639",154,174,218627.5067
"14644",59,158,218705.0298
"14660",51,149,218826.8253
"14676",154,170,218942.2122
"14684",42,174,219033.1778
"14685",191,208,219045.0639
"14687",42,392,219082.4274
"14689",30,166,219104.1707
"14714",152,168,219339.138
"14745",61,193,219566.4408
"14758",59,166,219676.7118
"14775",158,208,219814.7752
"14783",150,177,219880.8315
"14797",156,196,220034.409
"14813",50,168,220185.7869
"14828",54,171,220328.4146
"14852",61,165,220482.624
"14873",30,167,220713.4879
"14875",151,393,220723.4109
"14895",28,168,220897.2049
"14901",151,167,220922.188
"14907",24,170,220952.9314
"14909",52,149,220958.0968
"14922",155,193,221119.8071
"14930",61,172,221206.8904
"14957",26,164,221383.9216
"14960",22,158,221425.5923
"14967",31,50,221490.0063
"15001",159,175,221773.383
"15013",22,169,221853.9733
"15018",157,173,221922.311
"15030",153,166,221983.6883
"15053",25,393,222147.2953
"15059",52,169,222186.5532
"15065",161,211,222223.4067
"15082",25,33,222391.033
"15109",59,177,222639.2478
"15114",23,403,222661.1733
"15122",54,151,222720.2171
"15124",162,211,222724.6978
"15133",21,162,222775.299
"15175",61,167,223199.561
"15181",59,173,223261.5595
"15226",59,164,223554.8599
"15230",24,50,223573.9638
"15238",22,179,223630.042
"15255",21,190,223790.83
"15256",179,194,223798.6943
"15265",41,51,223847.0012
"15293",24,393,224061.0035
"15334",150,395,224427.5563
"15356",149,166,224612.3928
"15359",155,166,224632.7829
"15364",28,174,224699.7905
"15369",168,208,224744.5423
"15374",156,392,224798.0257
"15399",27,53,225028.2829
"15412",159,212,225116.8578
"15418",166,212,225143.9649
"15431",55,167,225240.2587
"15459",21,158,225426.3645
"15476",30,163,225506.9061
"15498",25,170,225676.6262
"15517",42,178,225883.9171
"15535",23,178,226100.3237
"15539",190,204,226137.5805
"15555",53,148,226315.0243
"15556",149,192,226328.8791
"15560",59,403,226341.1038
"15570",43,156,226413.493
"15600",164,177,226666.6102
"15613",155,169,226801.52
"15628",192,208,226920.3657
"15650",150,192,227042.5891
"15662",28,403,227099.0458
"15684",43,160,227333.0762
"15686",160,194,227356.8346
"15708",61,191,227547.5841
"15717",394,403,227641.9575
"15726",162,192,227727.091
"15746",22,165,227876.2845
"15759",148,395,227949.9672
"15787",23,50,228176.9295
"15792",27,171,228222.8986
"15812",152,170,228436.6361
"15816",148,191,228454.8796
"15837",158,176,228647.4498
"15840",41,191,228670.16
"15855",61,159,228785.0303
"15857",196,203,228800.8456
"15887",61,176,229119.0097
"15891",59,193,229158.0094
"15905",27,167,229264.5753
"15915",154,395,229329.2031
"15920",154,171,229382.6806
"15923",150,169,229403.2347
"15927",43,394,229435.325
"15954",41,177,229638.6172
"15962",33,42,229690.0574
"15986",164,175,229954.5885
"16023",41,54,230311.6892
"16045",151,171,230504.0475
"16058",50,59,230561.8102
"16074",148,203,230655.9401
"16081",42,52,230779.2388
"16091",161,212,230835.9999
"16153",23,165,231412.1467
"16160",51,150,231468.2243
"16179",55,161,231662.0763
"16181",169,403,231697.9672
"16196",149,170,231768.9973
"16206",52,173,231852.9862
"16208",59,174,231868.2712
"16254",61,160,232252.6792
"16255",55,203,232260.0767
"16256",43,52,232268.9385
"16268",165,177,232436.6725
"16273",24,166,232478.0787
"16279",152,167,232505.5214
"16289",24,178,232571.0215
"16310",27,179,232792.2428
"16317",157,172,232818.9621
"16321",27,392,232842.5434
"16356",33,41,233238.2436
"16357",43,208,233241.2316
"16371",151,174,233352.487
"16378",29,168,233373.9217
"16385",29,53,233414.229
"16386",43,398,233427.6127
"16405",29,174,233551.6327
"16419",25,157,233685.3116
"16432",21,157,233772.9682
"16457",55,172,234010.3293
"16459",168,196,234018.0744
"16484",154,193,234203.4382
"16490",43,157,234259.5764
"16502",31,51,234352.1945
"16513",156,193,234433.462
"16515",156,208,234456.9233
"16522",27,403,234519.3719
"16535",148,165,234604.5069
"16551",26,170,234687.2326
"16552",163,203,234692.2574
"16562",23,169,234817.3802
"16583",165,212,235024.7562
"16604",55,190,235251.7543
"16626",25,164,235536.1636
"16691",150,164,236160.6592
"16695",59,162,236179.8115
"16715",153,176,236295.4624
"16740",153,395,236465.8959
"16766",163,204,236676.5591
"16785",22,157,236878.2082
"16817",28,50,237125.7176
"16819",23,53,237138.2874
"16843",158,204,237318.0809
"16845",155,168,237341.6822
"16846",168,175,237342.0903
"16857",148,163,237420.8387
"16870",28,179,237517.3925
"16881",162,179,237564.4939
"16891",33,167,237717.1225
"16903",175,398,237808.6874
"16910",25,179,237930.7085
"16927",153,168,238055.7847
"16948",59,156,238233.8551
"16966",52,150,238362.035
"16968",162,194,238381.0552
"16971",42,51,238393.0298
"16973",54,170,238419.3796
"17004",151,175,238699.3597
"17011",26,191,238737.8258
"17021",52,394,238824.7875
"17029",30,174,238910.4524
"17075",33,398,239319.6553
"17105",42,191,239544.489
"17108",55,155,239579.9223
"17110",54,394,239596.7
"17117",26,393,239670.8019
"17123",162,196,239727.8584
"17144",151,211,239957.2745
"17149",50,394,240008.3125
"17158",28,190,240039.221
"17185",26,166,240221.057
"17187",27,190,240233.4037
"17195",156,204,240269.0709
"17202",25,163,240305.229
"17217",59,172,240367.1135
"17238",33,165,240559.8161
"17267",30,157,240752.9398
"17337",165,175,241270.8544
"17341",61,192,241284.5284
"17348",148,177,241316.3819
"17354",27,168,241351.9495
"17361",154,393,241399.4094
"17366",166,175,241426.8791
"17367",159,211,241429.6529
"17388",166,177,241588.8273
"17396",23,163,241630.6191
"17400",192,398,241662.2058
"17410",166,208,241714.9672
"17422",149,393,241801.6874
"17433",59,176,241869.2176
"17442",164,208,241903.8168
"17462",42,177,242076.4356
"17482",164,191,242215.224
"17503",43,161,242382.1598
"17526",152,212,242595.145
"17533",152,174,242658.0489
"17542",168,177,242740.837
"17554",148,169,242837.2448
"17563",53,393,242899.387
"17571",158,193,242941.4381
"17576",21,169,242975.5666
"17581",30,168,243004.9629
"17612",41,173,243208.8074
"17616",159,179,243228.9408
"17620",22,190,243252.6122
"17623",159,192,243283.4792
"17655",21,165,243599.8554
"17667",167,403,243700.6001
"17676",27,50,243758.0081
"17685",41,172,243846.7442
"17699",162,203,243899.0129
"17745",163,179,244278.8189
"17747",152,176,244289.4932
"17758",149,168,244382.9057
"17773",52,171,244536.3913
"17778",156,195,244575.9299
"17793",32,43,244649.186
"17794",162,208,244650.0998
"17796",174,403,244656.6994
"17827",190,196,244876.983
"17840",50,169,244999.1796
"17860",164,196,245206.7031
"17865",21,403,245262.3336
"17868",152,393,245288.6633
"17877",53,392,245382.276
"17878",54,179,245382.4609
"17901",153,212,245563.9635
"17907",165,191,245604.0193
"17916",22,393,245681.8665
"17936",160,176,245853.7097
"17938",27,174,245873.5432
"17941",52,172,245903.2867
"17968",152,171,246058.748
"17994",22,33,246258.9742
"18039",148,192,246667.4761
"18048",155,195,246733.8046
"18076",59,167,246996.8945
"18088",163,176,247077.896
"18100",179,212,247167.5532
"18108",153,194,247229.8774
"18120",26,177,247281.8755
"18121",157,393,247286.2323
"18142",179,195,247439.3633
"18159",55,398,247633.2364
"18176",22,170,247730.8837
"18181",42,54,247775.7039
"18192",51,174,247852.1179
"18212",59,165,247991.7282
"18220",203,398,248100.8344
"18225",158,195,248118.874
"18228",166,196,248142.0956
"18256",149,167,248300.3923
"18270",54,149,248414.1471
"18276",160,196,248456.4503
"18280",24,33,248509.0489
"18317",59,191,248893.6689
"18332",21,178,248966.3409
"18333",24,167,248977.1481
"18354",152,194,249151.061
"18365",23,191,249255.8014
"18370",32,403,249286.1682
"18385",154,196,249393.4826
"18412",153,170,249588.171
"18427",178,208,249691.5811
"18460",26,203,249937.2096
"18468",29,403,250057.3826
"18479",151,392,250141.4368
"18496",33,159,250274.2806
"18501",211,398,250308.5837
"18513",61,154,250367.2416
"18530",51,169,250503.0424
"18543",51,167,250597.0734
"18560",164,178,250746.9774
"18577",165,178,250905.1261
"18582",21,50,250962.8731
"18621",24,191,251288.7297
"18636",22,163,251407.2493
"18650",22,164,251530.8566
"18661",24,171,251627.4862
"18683",165,190,251834.6815
"18732",25,166,252118.0597
"18733",61,171,252126.0462
"18780",23,164,252516.4091
"18790",154,195,252557.7744
"18798",212,398,252634.5064
"18813",25,190,252747.6559
"18816",161,194,252766.9298
"18821",153,167,252822.1802
"18822",26,51,252835.5046
"18915",25,53,253532.2938
"18923",26,52,253564.1667
"18940",154,173,253641.8492
"18958",51,148,253816.8394
"18985",148,164,254025.8529
"18994",23,203,254053.3077
"18996",41,203,254057.8052
"19012",41,192,254231.3812
"19015",149,211,254238.7342
"19028",55,169,254374.5413
"19048",24,168,254499.1898
"19054",43,212,254582.7259
"19056",157,392,254624.9483
"19062",31,177,254716.0793
"19064",164,190,254722.3413
"19073",30,53,254825.4085
"19089",55,171,254960.5913
"19097",22,403,255006.2343
"19107",43,196,255051.9596
"19120",33,174,255164.3728
"19186",174,212,255709.2485
"19187",61,178,255723.6554
"19215",52,170,255877.5974
"19228",150,166,256002.9333
"19231",163,195,256022.669
"19274",31,190,256384.0249
"19297",149,171,256509.1159
"19327",25,403,256671.3154
"19332",149,175,256700.7035
"19334",164,211,256702.9875
"19352",50,167,256860.7841
"19363",28,178,256940.8464
"19371",159,203,257024.801
"19416",163,193,257405.8122
"19430",173,208,257502.8258
"19432",59,159,257538.4702
"19438",50,174,257610.6389
"19447",21,53,257656.5671
"19470",157,395,257784.5325
"19489",29,179,257944.9282
"19497",31,55,258079.5327
"19517",166,191,258260.1502
"19524",24,177,258313.0747
"19565",22,53,258602.5612
"19569",51,394,258627.2266
"19571",154,204,258635.4248
"19585",21,163,258755.6396
"19598",42,172,258859.3173
"19599",28,52,258882.2921
"19600",42,173,258892.4251
"19638",27,178,259154.3032
"19652",26,167,259281.8557
"19660",24,52,259347.6631
"19661",61,161,259370.5513
"19667",159,194,259457.1313
"19686",55,152,259607.4863
"19688",155,167,259646.5142
"19746",154,392,260040.6098
"19756",29,50,260131.2568
"19780",26,192,260265.1461
"19783",150,211,260291.4558
"19809",174,208,260464.4365
"19813",43,395,260505.8604
"19816",59,192,260517.6913
"19826",25,171,260583.9476
"19836",23,177,260659.8382
"19873",160,208,260952.5568
"19877",154,172,260968.2805
"19880",24,392,261018.4927
"19881",52,148,261019.997
"19904",24,51,261259.3853
"19907",149,174,261264.9829
"19908",168,191,261265.9783
"19931",59,160,261436.6159
"19935",32,50,261451.2811
"19943",26,168,261519.9093
"19956",33,164,261667.9248
"19957",153,193,261668.4094
"19963",31,178,261736.1329
"19988",42,203,261985.4642
"20005",61,169,262072.9264
"20015",32,52,262120.4889
"20017",22,50,262145.125
"20035",28,172,262254.5793
"20043",29,190,262306.0319
"20045",159,196,262309.9746
"20050",164,194,262341.4265
"20070",153,174,262545.6873
"20075",25,167,262612.4618
"20089",33,166,262681.7296
"20102",53,395,262737.1613
"20113",25,392,262818.9336
"20120",155,204,262869.5952
"20127",31,191,262962.8432
"20137",32,54,263036.9022
"20233",26,171,263721.9942
"20244",150,170,263784.5047
"20261",203,208,263913.353
"20264",160,193,263936.1792
"20265",167,212,263963.7919
"20279",41,175,264163.9857
"20292",24,174,264290.3564
"20298",28,173,264311.0848
"20308",165,208,264370.0493
"20317",42,192,264421.1529
"20385",54,392,264852.8845
"20386",25,50,264853.3735
"20406",168,194,265060.7491
"20418",24,203,265134.0068
"20420",155,196,265155.0123
"20429",165,211,265282.1539
"20445",190,394,265383.3699
"20452",165,196,265470.3789
"20466",23,170,265619.8778
"20484",173,212,265743.3406
"20485",155,170,265755.5459
"20493",21,164,265812.0192
"20495",33,172,265813.1967
"20553",153,393,266343.2399
"20581",22,178,266539.7167
"20588",155,395,266568.4347
"20609",155,174,266741.5672
"20628",153,171,266886.0484
"20640",161,176,266980.0924
"20641",159,208,266988.6999
"20666",55,153,267220.7175
"20677",150,175,267283.7924
"20712",26,33,267629.429
"20759",168,211,268008.2106
"20780",166,178,268146.4638
"20786",28,51,268189.2195
"20793",171,403,268240.4437
"20824",152,193,268463.804
"20833",23,192,268570.7698
"20864",33,161,268879.9029
"20866",51,173,268903.7454
"20871",22,166,268933.6061
"20886",154,208,269080.0968
"20900",164,192,269150.2621
"20906",29,172,269196.4962
"20924",151,212,269320.1115
"20932",23,393,269390.7653
"20946",170,403,269485.9833
"20970",54,150,269708.328
"20989",166,211,269862.7557
"21046",43,51,270353.1415
"21064",23,51,270471.9965
"21069",160,204,270499.1325
"21071",162,176,270510.1304
"21094",152,392,270662.1156
"21096",28,191,270680.0042
"21107",27,52,270747.3101
"21138",41,211,271046.7107
"21140",378,404,271074.0382
"21192",61,398,271500.2327
"21193",23,166,271503.4352
"21204",21,170,271584.4642
"21215",173,403,271667.936
"21225",33,162,271786.8857
"21238",166,194,271906.0281
"21249",30,172,271990.7851
"21285",174,196,272197.1842
"21294",21,191,272238.6861
"21301",151,173,272334.0699
"21312",21,393,272397.7987
"21349",29,173,272630.5694
"21365",31,61,272732.6878
"21393",28,177,272935.8991
"21397",150,393,272958.4801
"21399",54,393,272969.8297
"21408",165,192,273033.1958
"21414",28,54,273082.7137
"21434",166,190,273177.7576
"21440",31,175,273248.4592
"21445",162,204,273294.1443
"21487",148,166,273606.7325
"21494",149,392,273667.7073
"21501",167,208,273714.2369
"21506",24,192,273735.779
"21509",168,178,273769.013
"21515",26,174,273866.1532
"21571",25,178,274284.7648
"21607",173,196,274508.7452
"21620",178,394,274629.1043
"21622",30,403,274632.1575
"21625",172,208,274641.36
"21637",177,394,274702.5212
"21655",23,52,274809.5571
"21668",160,195,274916.9471
"21690",43,154,275064.7736
"21694",27,191,275102.2555
"21718",25,168,275253.2351
"21726",150,168,275307.9986
"21729",151,172,275357.2995
"21732",59,171,275367.4219
"21735",26,392,275409.2355
"21781",148,170,275738.302
"21802",169,177,275915.6214
"21807",165,194,275926.2729
"21855",190,208,276272.9537
"21857",161,196,276277.5421
"21865",31,212,276336.776
"21872",31,179,276380.9725
"21887",21,203,276512.635
"21942",30,173,277000.8812
"21958",61,203,277097.26
"21981",41,43,277341.781
"22003",155,171,277485.1865
"22005",27,51,277488.9495
"22054",174,175,277802.9577
"22055",51,171,277803.3182
"22083",59,178,278081.6686
"22084",179,394,278082.5626
